Index,State,Convicts,Undertrials,Detenues,Others,Total Prisoners,Total Occupancy Rate
1,Andhra Pradesh,2742,4197,29,13,6981,79.5
2,Arunachal Pradesh,127,118,0,0,245,105.2
3,Assam,3178,5025,4,3,8210,93.2
4,Bihar,7184,31421,3,5,38613,93.3
5,Chhattisgarh,8325,10129,0,20,18474,153.3
6,Goa,138,272,0,0,410,69.7
7,Gujarat,4485,9912,452,0,14849,112.3
8,Haryana,7051,12139,27,0,19217,104.3
9,Himachal Pradesh,816,1293,0,0,2109,103.5
10,Jammu & Kashmir,218,2531,253,1,3003,116
11,Jharkhand,4970,15626,27,0,20623,128.2
12,Karnataka,3794,9975,12,6,13787,101.7
13,Kerala,2687,4885,44,0,7616,112.2
14,Madhya Pradesh,18612,23115,177,131,42035,147
15,Maharashtra,8829,26390,78,0,35297,148.9
16,Manipur,82,773,8,0,863,72.3
17,Meghalaya,116,787,0,0,903,143.5
18,Mizoram,708,949,0,0,1657,104.7
19,Nagaland,115,304,23,0,442,30.5
20,Odisha,3825,12645,14,5,16489,86.1
21,Punjab,8514,13790,0,0,22304,95.7
22,Rajasthan,5593,14464,6,13,20076,92
23,Sikkim,163,223,0,0,386,157.3
24,Tamil Nadu,3665,9132,741,4,13542,60
25,Telangana,2056,3163,292,1,5512,77.1
26,Tripura,503,510,1,1,1015,47.9
27,Uttar Pradesh,28530,74946,141,4,103621,176.5
28,Uttarakhand,2064,3191,0,0,5255,150
29,West Bengal,4874,15902,0,0,20776,106.1
30,A & N Islands,59,103,0,0,162,59.5
31,Chandigarh,437,589,0,0,1026,92.4
32,D & N Haveli,1,38,0,0,39,55.7
33,Daman & Diu,15,44,0,0,59,98.3
34,Delhi,2826,12164,0,62,15052,154.3
35,Lakshadweep,0,1,0,0,1,1.6
36,Puducherry,78,180,9,0,267,64.4