Index,State,Hindu,Muslim,Sikh,Christian,Others,Total
1,Andhra Pradesh,3468,465,1,250,17,4201
2,Arunachal Pradesh,47,21,0,39,11,118
3,Assam,2184,2351,55,348,141,5079
4,Bihar,25618,5790,52,27,1,31488
5,Chhattisgarh,9382,428,74,222,31,10137
6,Goa,230,22,0,34,0,286
7,Gujarat,6539,2932,251,161,79,9962
8,Haryana,10108,1368,641,28,31,12176
9,Himachal Pradesh,1216,78,51,30,13,1388
10,Jammu & Kashmir,901,1553,101,8,5,2568
11,Jharkhand,10944,3263,72,1060,290,15629
12,Karnataka,7333,2262,11,347,156,10109
13,Kerala,2746,1388,0,693,78,4905
14,Madhya Pradesh,19649,3108,191,97,78,23123
15,Maharashtra,NA,NA,NA,NA,NA,26898
16,Manipur,382,171,2,243,18,816
17,Meghalaya,157,61,0,593,3,814
18,Mizoram,30,59,0,855,19,963
19,Nagaland,43,34,2,223,2,304
20,Odisha,11018,799,30,700,102,12649
21,Punjab,4733,707,7275,960,229,13904
22,Rajasthan,10446,3336,617,34,68,14501
23,Sikkim,136,5,0,55,27,223
24,Tamil Nadu,6749,1014,0,1470,2,9235
25,Telangana,1934,979,42,187,52,3194
26,Tripura,381,96,0,36,14,527
27,Uttar Pradesh,53001,21148,426,93,538,75206
28,Uttarakhand,1894,1090,216,22,2,3224
29,West Bengal,10315,6032,30,82,19,16478
30,A & N Islands,76,10,2,15,0,103
31,Chandigarh,498,39,56,2,0,595
32,D & N Haveli,35,3,0,0,0,38
33,Daman & Diu,29,15,0,0,0,44
34,Delhi,8965,2986,215,277,27,12470
35,Lakshadweep,0,1,0,0,0,1
36,Puducherry,148,12,0,2,19,181